Title,context,question,answers,is_impossible,id,answer_start
Tổng quan du lịch Việt Nam,"Ngành Du lịch là ngành kinh tế tổng hợp, gồm nhiều nhóm ngành nghề liên quan đến nhiệm vụ đào tạo và cung cấp nhân lực cho các công ty lữ hành, khách sạn, hay nhà hàng,…",Ngành du lịch Việt Nam có phải là ngành kinh tế không?,Ngành Du lịch là ngành kinh tế tổng hợp,FALSE,22e72ae97a885772b5e62b95c9fb554e,0
Tổng quan du lịch Việt Nam,"Ngành Du lịch là ngành kinh tế tổng hợp, gồm nhiều nhóm ngành nghề liên quan đến nhiệm vụ đào tạo và cung cấp nhân lực cho các công ty lữ hành, khách sạn, hay nhà hàng,…",Ngành du lịch gồm những ngành nghề nào?,"gồm nhiều nhóm ngành nghề liên quan đến nhiệm vụ đào tạo và cung cấp nhân lực cho các công ty lữ hành, khách sạn, hay nhà hàng,…",FALSE,ebeb94e61d355cc79c922acab08ea5d2,41
Tổng quan du lịch Việt Nam,"Ngành du lịch có sự đóng góp to lớn vào tổng sản phẩm kinh tế quốc dân ở nước ta. Hiện du lịch được coi là một trong ba ngành kinh tế lớn được chú trọng đầu tư, không ngừng phát triển. Du lịch thúc đẩy hỗ trợ các ngành như giao thông vận tải, bưu chính viễn thông, bảo hiểm, dịch vụ tài chính, lưu trú và ăn uống, đồng thời giải quyết việc làm cho đa số lao động phụ ở các thành phố, thị trấn.",Ngành du lịch có những đóng góp gì?,"Ngành du lịch có sự đóng góp to lớn vào tổng sản phẩm kinh tế quốc dân ở nước ta. Hiện du lịch được coi là một trong ba ngành kinh tế lớn được chú trọng đầu tư, không ngừng phát triển",FALSE,2e851c0c95675ce0a46944739c4f2bdf,0
Tổng quan du lịch Việt Nam,"Ngành du lịch có sự đóng góp to lớn vào tổng sản phẩm kinh tế quốc dân ở nước ta. Hiện du lịch được coi là một trong ba ngành kinh tế lớn được chú trọng đầu tư, không ngừng phát triển. Du lịch thúc đẩy hỗ trợ các ngành như giao thông vận tải, bưu chính viễn thông, bảo hiểm, dịch vụ tài chính, lưu trú và ăn uống, đồng thời giải quyết việc làm cho đa số lao động phụ ở các thành phố, thị trấn.",Ngành du lịch có giúp ích gì cho các ngành khác không?,"Du lịch thúc đẩy hỗ trợ các ngành như giao thông vận tải, bưu chính viễn thông, bảo hiểm, dịch vụ tài chính, lưu trú và ăn uống, đồng thời giải quyết việc làm cho đa số lao động phụ ở các thành phố, thị trấn",FALSE,e03ae8c2c2c7546ea65f9b86b8cf9c78,185
Tổng quan du lịch Việt Nam,"Ngành du lịch có sự đóng góp to lớn vào tổng sản phẩm kinh tế quốc dân ở nước ta. Hiện du lịch được coi là một trong ba ngành kinh tế lớn được chú trọng đầu tư, không ngừng phát triển. Du lịch thúc đẩy hỗ trợ các ngành như giao thông vận tải, bưu chính viễn thông, bảo hiểm, dịch vụ tài chính, lưu trú và ăn uống, đồng thời giải quyết việc làm cho đa số lao động phụ ở các thành phố, thị trấn.",Các nhóm nghề trong ngành du lịch là những nghề nào?,"Ngành Du lịch hiện có các nhóm nghề chính như quản lý du lịch, điều hành du lịch, lễ tân, phục vụ, hướng dẫn viên, ",TRUE,d63a73bb13705a3daabe63b00eb2072e,
Du lịch Hạ Long,"Vịnh Hạ Long nằm ở phía đông khu vực Bắc Bộ, cách thủ đô Hà Nội khoảng 170km hoặc thời gian từ 3,5 tiếng đến 4 tiếng khi di chuyển bằng ô tô. Trung tâm thành phố Hạ Long nằm sát bờ biển phía bắc vịnh. Vịnh Hạ Long có tổng diện tích là 1.553 km2, bao gồm 2 vịnh nổi tiếng là Vịnh Bái Tử Long ở phía đông và Vịnh Lan Hạ ở phía nam.",Vịnh Hạ Long nằm ở đâu?,"Vịnh Hạ Long nằm ở phía Đông khu vực Bắc Bộ, cách thủ đô Hà Nội khoảng 170km hoặc thời gian từ 3,5 tiếng đến 4 tiếng khi di chuyển bằng ô tô",FALSE,a25d8b30a39951209116f096353e50af,0
Du lịch Hạ Long,"Vịnh Hạ Long nằm ở phía đông khu vực Bắc Bộ, cách thủ đô Hà Nội khoảng 170km hoặc thời gian từ 3,5 tiếng đến 4 tiếng đồng hồ khi di chuyển bằng ô tô. Trung tâm thành phố Hạ Long nằm sát bờ biển phía bắc vịnh. Vịnh Hạ Long có tổng diện tích là 1.553 km2, bao gồm 2 vịnh nổi tiếng là Vịnh Bái Tử Long ở phía đông và Vịnh Lan Hạ ở phía nam.",Vịnh Hạ Long rộng bao nhiêu?,"Vịnh Hạ Long có tổng diện tích là 1.553 km2, bao gồm 2 vịnh nổi tiếng là Vịnh Bái Tử Long ở phía đông và Vịnh Lan Hạ ở phía nam",FALSE,7e4b483a34f459d98078495aa3c9d153,209
Du lịch Hạ Long,"Vịnh Hạ Long được du khách biết đến với những động cơ tự nhiên được kiến trúc tạo ra từ hàng triệu năm rải rác trên 1.969 hòn đảo lớn nhỏ. Ven bờ, vịnh còn nổi tiếng thế giới với thảm thực vật phong phú và các loài sinh vật đa dạng.",Vịnh Hạ Long được du khách biết đến qua điều gì?,"Vịnh Hạ Long được du khách biết đến với những động cơ tự nhiên được kiến trúc tạo ra từ hàng triệu năm rải rác trên 1.969 hòn đảo lớn nhỏ. Ven bờ, vịnh còn nổi tiếng thế giới với thảm thực vật phong phú và các loài sinh vật đa dạng",FALSE,b5449050f8675e53878c77b70f7dea25,0
Du lịch Hạ Long,"Có rất nhiều giả thuyết xung quanh sự xuất hiện của Vịnh Hạ Long, có lẽ nhiều hơn bất kỳ danh thắng nào khác của Việt Nam. Câu chuyện được người dân lưu truyền rộng rãi nhất là: Tất cả các đảo lớn hay nhỏ trên Vịnh Hạ Long đều là những viên ngọc trai, ngọc quý được Rồng mẹ miễn phí ra, tạo thành những bức bức thành lũy (ngày núi) Mạnh chắc giúp người dân chống giặc ngoại xâm.",Truyền thuyết về Vịnh Hạ Long có nội dung là gì?,"Câu chuyện được người dân lưu truyền rộng rãi nhất là: Tất cả các đảo lớn hay nhỏ trên Vịnh Hạ Long đều là những viên ngọc trai, ngọc quý được Rồng mẹ miễn phí ra, tạo thành những bức bức thành lũy (ngày núi) Mạnh chắc giúp người dân chống giặc ngoại xâm",FALSE,75c9de8c49085f94b755efcd84bbad73,123
Du lịch Hạ Long,"Mỗi động trong vịnh cũng nắm giữ cho mình một câu chuyện kỳ bí. Hầu hết đều những câu chuyện đầy màu sắc phản ánh ánh đời sống tinh thần, tình cảm của người dân Việt như tình yêu đôi kiến, mong muốn ước mơ về giàu có, nghèo trong cuộc sống…","Những câu chuyện dân gian, kỳ bí xung quanh Vịnh Hạ Long thường có nội dung như nào?","Hầu hết đều những câu chuyện đầy màu sắc phản ánh ánh đời sống tinh thần, tình cảm của người dân Việt như tình yêu đôi kiến, mong muốn ước mơ về giàu có, nghèo trong cuộc sống…",FALSE,741c3ac56a225c42a2ecd850896b8023,64
